auc,pr_auc,ks,gini,brier,log_loss,fold,model,n_estimators
0.8694261204686087,0.39979509563904914,0.5873010588371008,0.7388522409372174,0.049069665372371674,0.17674137651920319,0,xgb,498
0.8630054201208891,0.40352008279205925,0.5761454775278271,0.7260108402417782,0.04901783913373947,0.17812925577163696,1,xgb,525
0.8624702921656388,0.3956833970603958,0.5710686446947465,0.7249405843312775,0.04920625686645508,0.17864106595516205,2,xgb,425
0.8614922886568184,0.4004604126280375,0.570574924538983,0.7229845773136367,0.049232687801122665,0.1790762096643448,3,xgb,452
0.8677231858746841,0.4095763775152065,0.580066061140984,0.7354463717493682,0.048607759177684784,0.17611198127269745,4,xgb,554
0.8678639120630287,0.4026796874307228,0.584504758820933,0.7357278241260574,0.04902985964775115,0.1769665875828817,0,lgbm,67
0.8621898882905257,0.4009688681854161,0.5784322458721921,0.7243797765810513,0.04914281040085665,0.17861288137206116,1,lgbm,66
0.8611853559528576,0.3923052593781931,0.5763345476280721,0.7223707119057152,0.04937801371194713,0.17932198737997376,2,lgbm,45
0.8612021417700614,0.39648430549640223,0.565958407250315,0.7224042835401228,0.0493325990864761,0.17938958645079928,3,lgbm,54
0.8655084614319924,0.408857305666772,0.5770284171408421,0.7310169228639849,0.048693838956077706,0.17688725446150436,4,lgbm,58
0.8690805358455976,0.4010491921904823,0.592679646659383,0.7381610716911953,0.04898317688454881,0.17670627325457805,0,cat,1251
0.862388116821716,0.40685433858397935,0.5766404225193401,0.724776233643432,0.048975096900192396,0.1780977472628309,1,cat,1502
0.8628812106410167,0.3989583723930639,0.5737164055391082,0.7257624212820335,0.049085809043466565,0.1782828435951198,2,cat,1662
0.8623746714656474,0.4010479938024836,0.5698864554990448,0.7247493429312948,0.04916943014412907,0.17864084855700055,3,cat,1788
0.868565774931682,0.41091938533616795,0.5801353356160526,0.7371315498633639,0.048572219342620175,0.17591268611576236,4,cat,1499
